name,state,total_mwh,total_cust,no,type,saidi_nomed,saifi_nomed,caidi_nomed,pv_pct,wind_pct,nm_pct,ee_pct,dem_res_pct,dem_res_cust_pct
Adams Electric Coop,IL,176102.0,8931.0,97.0,Cooperative,169.74,1.29,131.5814,0.0,0.0,0.0,0.0,0.0,49.288993393796886
Adams-Columbia Electric Coop,WI,515186.0,37607.0,108.0,Cooperative,139.9,0.95,147.26316,0.13699421179923366,0.004315916969793434,0.1413101287690271,0.0,2.649016083511586,12.713058739064536
Agralite Electric Coop,MN,238558.0,5251.0,155.0,Cooperative,128.759,1.181,109.0254,0.0,0.0,0.0,0.0,0.0,0.0
Aiken Electric Coop Inc,SC,938436.0,48059.0,162.0,Cooperative,97.72,.,.,0.037770929503983225,0.0,0.037770929503983225,0.00040492905216764916,0.0,0.0
Alaska Electric Light&Power Co,AK,337796.0,17280.0,213.0,Investor Owned,79,2.08,37.980769,0.0,0.0,0.0,0.0,0.0,13.80787037037037
City of Albemarle - (NC),NC,282568.0,12072.0,232.0,Municipal,44.05,0.53,83.113208,0.0,0.0,0.0,0.0,0.0,0.0
Albertville Municipal Utilities Board,AL,604222.0,10277.0,241.0,Municipal,21.624,0.418,51.732057,0.0,0.0,0.0,0.0,0.0,0.0
Alger-Delta Coop Electric Assn,MI,75981.0,10089.0,305.0,Cooperative,55.852,0.117,477.36752,0.0,0.0,0.0,0.0,0.0,0.0
"Allamakee-Clayton El Coop, Inc",IA,133395.0,9987.0,329.0,Cooperative,141.6,0.965,146.73575,0.7764526406536977,0.00010795007309119531,0.7765605907267888,0.842610292739608,0.0,27.71603084009212
Altamaha Electric Member Corp,GA,440677.0,20790.0,407.0,Cooperative,95.1,0.47,202.34043,0.0,0.0,0.0,0.0,0.0031769300417312453,1.2313612313612312
City of Ames - (IA),IA,639455.0,26956.0,554.0,Municipal,15.79,0.19,83.105263,0.0,0.0,0.0,0.659624211242386,0.0,39.63125092743731
Amicalola Electric Member Corp,GA,786387.0,49991.0,562.0,Cooperative,449.79,2.38,188.98739,0.0019093652362004968,0.0,0.0019093652362004968,0.0,0.0,0.0
City of Anaheim - (CA),CA,2237118.0,120279.0,590.0,Municipal,42.12,0.57,73.894737,0.0,0.0,0.0,1.195280758547381,0.0,0.011639604586004207
Anchorage Municipal Light and Power,AK,923428.0,31134.0,599.0,Municipal,18.38,0.132,139.24242,0.00901802847650277,2.8155958017300754e-05,0.00904618443452007,0.0,0.0,0.0
City of Anderson - (IN),IN,866516.0,34351.0,636.0,Municipal,108.932,0.873,124.77892,0.0015316508870003556,0.0,0.0015316508870003556,0.0,0.0,0.0
Connexus Energy,MN,1956330.0,135890.0,689.0,Cooperative,29.264,0.349,83.851003,0.0,0.0,0.0,0.0,0.0,0.0
Anza Electric Coop Inc,CA,61032.0,4778.0,694.0,Cooperative,387.642,4.173,92.892883,0.0,0.0,0.0,0.0,0.0,0.0
Appalachian Electric Coop,TN,941700.0,47175.0,727.0,Cooperative,280.133,3.23,86.728483,0.0,0.0,0.0,0.0,0.0,0.0
Appalachian Power Co,VA,14794030.0,533034.0,733.0,Investor Owned,382.9,1.705,224.57478,0.042071572113886485,0.00020507596645403584,0.04227664808034052,0.13900316546606975,0.0,0.00018760529347096056
Appalachian Power Co,WV,12741119.0,421583.0,733.0,Investor Owned,650.8,2.883,225.73708,0.027253281285576247,4.866134599323654e-06,0.027258147420175575,0.4136614688238922,0.00036888439704550285,0.6473221168785269
Arizona Public Service Co,AZ,27844577.0,1260386.0,803.0,Investor Owned,86.8,0.843,102.9656,0.0,0.0,0.0,0.5143730500915852,3.509534370013953,55.04067801451301
Entergy Arkansas LLC,AR,21818109.0,713072.0,814.0,Investor Owned,308.8,1.72,179.53488,0.0,0.0,0.0,1.13970922044619,0.0,3.277228666950883
