year,name,state,total_mwh,total_cust,no,type,saidi_nomed,saifi_nomed,caidi_nomed,circuits,voltage,nerc,gen_mwh,purchase_mwh,ba,pv_mwh,wind_mwh,nm_mwh,ee_mwh,dem_res_customers,dem_res_mwh,pv_pct,wind_pct,nm_pct,ee_pct,dem_res_pct,dem_res_cust_pct
2019.0,Adams Electric Coop,IL,176102.0,8931.0,97.0,Cooperative,169.74,1.29,131.5814,47.0,47.0,SERC,4612.0,183534.0,MISO,0.0,0.0,0.0,0.0,4402.0,0.0,0.0,0.0,0.0,0.0,0.0,49.288993393796886
2019.0,Adams-Columbia Electric Coop,WI,515186.0,37607.0,108.0,Cooperative,139.9,0.95,147.26316,95.0,16.0,MRO,0.0,545904.0,MISO,705.775,22.235,728.01,0.0,4781.0,13647.36,0.13699421179923366,0.004315916969793434,0.1413101287690271,0.0,2.649016083511586,12.713058739064536
2019.0,Agralite Electric Coop,MN,238558.0,5251.0,155.0,Cooperative,128.759,1.181,109.0254,64.0,0.0,MRO,447.0,253275.0,MISO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019.0,Aiken Electric Coop Inc,SC,938436.0,48059.0,162.0,Cooperative,97.72,.,.,122.0,0.0,SERC,0.0,980124.0,SC,354.456,0.0,354.456,3.0,0.0,0.0,0.037770929503983225,0.0,0.037770929503983225,0.0003196808306586704,0.0,0.0
2019.0,Alaska Electric Light&Power Co,AK,337796.0,17280.0,213.0,Investor Owned,79,2.08,37.980769,31.0,31.0,AK,123203.0,235572.0,0,0.0,0.0,0.0,0.0,2386.0,0.0,0.0,0.0,0.0,0.0,0.0,13.80787037037037
2019.0,City of Albemarle - (NC),NC,282568.0,12072.0,232.0,Municipal,44.05,0.53,83.113208,14.0,14.0,SERC,0.0,293574.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019.0,Albertville Municipal Utilities Board,AL,604222.0,10277.0,241.0,Municipal,21.624,0.418,51.732057,22.0,0.0,SERC,0.0,623425.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019.0,Alger-Delta Coop Electric Assn,MI,75981.0,10089.0,305.0,Cooperative,55.852,0.117,477.36752,17.0,0.0,MISO,0.0,85152.0,MISO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019.0,"Allamakee-Clayton El Coop, Inc",IA,133395.0,9987.0,329.0,Cooperative,141.6,0.965,146.73575,53.0,0.0,MRO,148.0,150540.0,MISO,1035.749,0.144,1035.893,1124.0,2768.0,0.0,0.7764526406536977,0.00010795007309119531,0.7765605907267888,0.842610292739608,0.0,27.71603084009212
2019.0,Altamaha Electric Member Corp,GA,440677.0,20790.0,407.0,Cooperative,95.1,0.47,202.34043,57.0,57.0,SERC,0.0,451195.0,SOCO,0.0,0.0,0.0,0.0,256.0,14.0,0.0,0.0,0.0,0.0,0.0031769300417312453,1.2313612313612312
2019.0,City of Ames - (IA),IA,639455.0,26956.0,554.0,Municipal,15.79,0.19,83.105263,41.0,0.0,MRO,126113.0,663514.0,MISO,0.0,0.0,0.0,4218.0,10683.0,0.0,0.0,0.0,0.0,0.659624211242386,0.0,39.63125092743731
2019.0,Amicalola Electric Member Corp,GA,786387.0,49991.0,562.0,Cooperative,449.79,2.38,188.98739,62.0,0.0,SERC,0.0,809836.0,SOCO,15.015,0.0,15.015,0.0,0.0,0.0,0.0019093652362004968,0.0,0.0019093652362004968,0.0,0.0,0.0
2019.0,City of Anaheim - (CA),CA,2237118.0,120279.0,590.0,Municipal,42.12,0.57,73.894737,123.0,123.0,WECC,22353.0,3009839.0,CISO,0.0,0.0,0.0,26739.0,14.0,0.0,0.0,0.0,0.0,1.1952431655370883,0.0,0.011639604586004207
2019.0,Anchorage Municipal Light and Power,AK,923428.0,31134.0,599.0,Municipal,18.38,0.132,139.24242,76.0,15.0,AK,1125455.0,66345.0,AMPL,83.275,0.26,83.535,0.0,0.0,0.0,0.00901802847650277,2.8155958017300754e-05,0.00904618443452007,0.0,0.0,0.0
2019.0,City of Anderson - (IN),IN,866516.0,34351.0,636.0,Municipal,108.932,0.873,124.77892,65.0,0.0,RFC,0.0,911366.0,PJM,13.272,0.0,13.272,0.0,0.0,0.0,0.0015316508870003556,0.0,0.0015316508870003556,0.0,0.0,0.0
