name,state,total_mwh,total_cust,no,type,saidi_nomed,saifi_nomed,caidi_nomed,circuits,voltage,nerc,gen_mwh,purchase_mwh,ba,pv_mwh,wind_mwh,nm_mwh,ee_mwh,dem_res_customers,dem_res_mwh,wind_pct
A & N Electric Coop,MD,2623.0,316.0,84.0,Cooperative,.,.,.,1.0,0.0,,,,,,,,,35.0,1.05,0.0
A & N Electric Coop,VA,701387.0,35618.0,84.0,Cooperative,.,.,.,43.0,0.0,RFC,596.0,743457.0,PJM,0.0,0.0,0.0,,2101.0,63.03,0.0
Adams Electric Coop,IL,176102.0,8931.0,97.0,Cooperative,169.74,1.29,131.5814,47.0,47.0,SERC,4612.0,183534.0,MISO,0.0,0.0,0.0,,4402.0,0.0,0.0
Adams-Columbia Electric Coop,WI,515186.0,37607.0,108.0,Cooperative,139.9,0.95,147.26316,95.0,16.0,MRO,0.0,545904.0,MISO,705.775,22.235,728.01,,4781.0,13647.36,0.0
Agralite Electric Coop,MN,238558.0,5251.0,155.0,Cooperative,128.759,1.181,109.0254,64.0,0.0,MRO,447.0,253275.0,MISO,0.0,0.0,0.0,,,,0.0
Aiken Electric Coop Inc,SC,938436.0,48059.0,162.0,Cooperative,97.72,.,.,122.0,0.0,SERC,0.0,980124.0,SC,354.456,0.0,354.456,3.8,,,0.0
Alabama Power Co,AL,54152400.0,1488234.0,195.0,Investor Owned,.,.,.,2243.0,3.0,SERC,56870569.0,8958721.0,,,,,5718.069,5584.0,1147.61,0.0
City of Alameda,CA,342755.0,33631.0,207.0,Municipal,.,.,.,26.0,24.0,WECC,0.0,356594.0,CISO,333.0,0.0,333.0,2481.0,,,0.0
Alaska Electric Light&Power Co,AK,337796.0,17280.0,213.0,Investor Owned,79,2.08,37.980769,31.0,31.0,AK,123203.0,235572.0,,,,,,2386.0,0.0,0.0
Alaska Power and Telephone Co,AK,67047.0,8133.0,219.0,Investor Owned,.,.,.,31.0,0.0,,,,,,,,,,,0.0
City of Albemarle - (NC),NC,282568.0,12072.0,232.0,Municipal,44.05,0.53,83.113208,14.0,14.0,SERC,0.0,293574.0,,,,,,,,0.061367334444954603
Albemarle Electric Member Corp,NC,219383.0,13079.0,240.0,Cooperative,.,.,.,31.0,28.0,SERC,0.0,235364.0,PJM,0.0,0.0,0.0,,,,0.0
Albertville Municipal Utilities Board,AL,604222.0,10277.0,241.0,Municipal,21.624,0.418,51.732057,22.0,0.0,SERC,0.0,623425.0,,,,,,,,0.0
Alcorn County Elec Power Assn,MS,591269.0,18825.0,276.0,Cooperative,.,.,.,33.0,15.0,SERC,0.0,613125.0,,,,,,,,0.0
City of Alexandria - (MN),MN,281812.0,10144.0,295.0,Municipal,.,.,.,25.0,6.0,MRO,66.0,291147.0,MISO,16.019,0.0,31.219,4414.6,2821.0,0.0,0.0004928349771049078
"Alfalfa Electric Coop, Inc",KS,25722.0,952.0,296.0,Cooperative,.,.,.,3.0,0.0,,,,,,,,,,,1.1691530655193378e-05
"Alfalfa Electric Coop, Inc",OK,688634.0,7652.0,296.0,Cooperative,.,.,.,49.0,0.0,SPP,0.0,734182.0,SWPP,0.0,0.0,0.0,,,,0.0
Alger-Delta Coop Electric Assn,MI,75981.0,10089.0,305.0,Cooperative,55.852,0.117,477.36752,17.0,0.0,MISO,0.0,85152.0,MISO,0.0,0.0,0.0,,,,1.6034101796992628e-05
"Allamakee-Clayton El Coop, Inc",IA,133395.0,9987.0,329.0,Cooperative,141.6,0.965,146.73575,53.0,0.0,MRO,148.0,150540.0,MISO,1035.749,0.144,1035.893,1124.0,2768.0,0.0,0.0
Alpena Power Co,MI,333474.0,16511.0,392.0,Investor Owned,.,.,.,39.0,0.0,RFC,0.0,348342.0,MISO,0.0,0.0,0.0,,,,0.0021889202093999882
Altamaha Electric Member Corp,GA,440677.0,20790.0,407.0,Cooperative,95.1,0.47,202.34043,57.0,57.0,SERC,0.0,451195.0,SOCO,0.0,0.0,0.0,,256.0,14.0,0.000246925753468413
City of Ames - (IA),IA,639455.0,26956.0,554.0,Municipal,15.79,0.19,83.105263,41.0,0.0,MRO,126113.0,663514.0,MISO,0.0,0.0,0.0,4218.0,10683.0,0.0,0.0
Amicalola Electric Member Corp,GA,786387.0,49991.0,562.0,Cooperative,449.79,2.38,188.98739,62.0,0.0,SERC,0.0,809836.0,SOCO,15.015,0.0,15.015,,,,0.0
City of Anaheim - (CA),CA,2237118.0,120279.0,590.0,Municipal,42.12,0.57,73.894737,123.0,123.0,WECC,22353.0,3009839.0,CISO,0.0,0.0,0.0,26739.841,14.0,0.0,0.00035431062258888126
Anchorage Municipal Light and Power,AK,923428.0,31134.0,599.0,Municipal,18.38,0.132,139.24242,76.0,15.0,AK,1125455.0,66345.0,AMPL,83.275,0.26,83.535,,,,0.0
City of Anderson - (IN),IN,866516.0,34351.0,636.0,Municipal,108.932,0.873,124.77892,65.0,0.0,RFC,0.0,911366.0,PJM,13.272,0.0,13.272,,,,0.019066943368537207
Connexus Energy,MN,1956330.0,135890.0,689.0,Cooperative,29.264,0.349,83.851003,202.0,202.0,MRO,14388.0,2006063.0,MISO,0.0,0.0,0.0,,,,0.0
Anza Electric Coop Inc,CA,61032.0,4778.0,694.0,Cooperative,387.642,4.173,92.892883,8.0,8.0,WECC,0.0,63695.0,WALC,0.0,0.0,0.0,,,,0.024512807942149776
Appalachian Electric Coop,TN,941700.0,47175.0,727.0,Cooperative,280.133,3.23,86.728483,72.0,72.0,SERC,0.0,982658.0,,,,,,,,0.0
