year,name,state,total_mwh,total_cust,no,type,saidi_nomed,saifi_nomed,caidi_nomed,circuits,voltage,nerc,gen_mwh,purchase_mwh,pv_mwh,wind_mwh,nm_mwh,pv_pct,wind_pct,nm_pct,circuit_pct
2019.0,Adams Electric Coop,IL,176102.0,8931.0,97.0,Cooperative,169.74,1.29,131.5814,47.0,47.0,SERC,4612.0,183534.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2019.0,Adams-Columbia Electric Coop,WI,515186.0,37607.0,108.0,Cooperative,139.9,0.95,147.26316,95.0,16.0,MRO,0.0,545904.0,705.775,22.235,728.01,0.13699421179923366,0.004315916969793434,0.1413101287690271,16.842105263157894
2019.0,Agralite Electric Coop,MN,238558.0,5251.0,155.0,Cooperative,128.759,1.181,109.0254,64.0,0.0,MRO,447.0,253275.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019.0,Aiken Electric Coop Inc,SC,938436.0,48059.0,162.0,Cooperative,97.72,.,.,122.0,0.0,SERC,0.0,980124.0,354.456,0.0,354.456,0.037770929503983225,0.0,0.037770929503983225,0.0
2019.0,Alger-Delta Coop Electric Assn,MI,75981.0,10089.0,305.0,Cooperative,55.852,0.117,477.36752,17.0,0.0,MISO,0.0,85152.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019.0,"Allamakee-Clayton El Coop, Inc",IA,133395.0,9987.0,329.0,Cooperative,141.6,0.965,146.73575,53.0,0.0,MRO,148.0,150540.0,1035.749,0.144,1035.893,0.7764526406536977,0.00010795007309119531,0.7765605907267888,0.0
2019.0,Altamaha Electric Member Corp,GA,440677.0,20790.0,407.0,Cooperative,95.1,0.47,202.34043,57.0,57.0,SERC,0.0,451195.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2019.0,City of Ames - (IA),IA,639455.0,26956.0,554.0,Municipal,15.79,0.19,83.105263,41.0,0.0,MRO,126113.0,663514.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019.0,Amicalola Electric Member Corp,GA,786387.0,49991.0,562.0,Cooperative,449.79,2.38,188.98739,62.0,0.0,SERC,0.0,809836.0,15.015,0.0,15.015,0.0019093652362004968,0.0,0.0019093652362004968,0.0
2019.0,City of Anaheim - (CA),CA,2237118.0,120279.0,590.0,Municipal,42.12,0.57,73.894737,123.0,123.0,WECC,22353.0,3009839.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
